YEAR,MO,DY,HR,PRECTOTCORR,Time2
2013,8,25,5,0,127912
2013,8,25,6,0,127916
2013,8,25,7,0,127920
2013,8,25,8,0,127924
2013,8,25,9,0,127928
2013,8,25,10,0,127932
2013,8,25,11,0,127936
2013,8,25,12,0,127940
2013,8,25,13,0,127944
2013,8,25,14,0,127948
2013,8,25,15,0,127952
2013,8,25,16,0,127956
2013,8,25,17,0,127960
2013,8,25,18,0,127964
2013,8,25,19,0,127968
2013,8,25,20,0,127972
2013,8,25,21,0,127976
2013,8,25,22,0,127980
2013,8,25,23,0,127984
2013,8,26,0,0,127988
2013,8,26,1,0,127992
2013,8,26,2,0,127996
2013,8,26,3,0,128000
2013,8,26,4,0,128004
2013,8,26,5,0,128008
2013,8,26,6,0,128012
2013,8,26,7,0.01,128016
2013,8,26,8,0.01,128020
2013,8,26,9,0.02,128024
2013,8,26,10,0.04,128028
2013,8,26,11,0.04,128032
2013,8,26,12,0.01,128036
2013,8,26,13,0.01,128040
2013,8,26,14,0.04,128044
2013,8,26,15,0.24,128048
2013,8,26,16,0.7,128052
2013,8,26,17,0.69,128056
2013,8,26,18,0.29,128060
2013,8,26,19,0.29,128064
2013,8,26,20,0.56,128068
2013,8,26,21,0.67,128072
2013,8,26,22,0.59,128076
2013,8,26,23,0.54,128080
2013,8,27,0,0.57,128084
2013,8,27,1,0.44,128088
2013,8,27,2,0.35,128092
2013,8,27,3,0.33,128096
2013,8,27,4,0.37,128100
2013,8,27,5,0.36,128104
2013,8,27,6,0.43,128108
2013,8,27,7,0,128112
2013,8,27,8,0,128116
2013,8,27,9,0,128120
2013,8,27,10,0,128124
2013,8,27,11,0,128128
2013,8,27,12,0,128132
2013,8,27,13,0,128136
2013,8,27,14,0,128140
2013,8,27,15,0,128144
2013,8,27,16,0,128148
2013,8,27,17,0,128152
2013,8,27,18,0,128156
2013,8,27,19,0,128160
2013,8,27,20,0,128164
2013,8,27,21,0,128168
2013,8,27,22,0,128172
2013,8,27,23,0,128176
2013,8,28,0,0,128180
2013,8,28,1,0,128184
2013,8,28,2,0,128188
2013,8,28,3,0,128192
2013,8,28,4,0,128196
2013,8,28,5,0,128200
2013,8,28,6,0,128204
2013,8,28,7,0,128208
2013,8,28,8,0.14,128212
2013,8,28,9,0.51,128216
2013,8,28,10,0.85,128220
2013,8,28,11,0.98,128224
2013,8,28,12,0.96,128228
2013,8,28,13,0.93,128232
2013,8,28,14,0.74,128236
2013,8,28,15,0.43,128240
2013,8,28,16,0.13,128244
2013,8,28,17,0.08,128248
2013,8,28,18,0.08,128252
2013,8,28,19,0.05,128256
2013,8,28,20,0.04,128260
2013,8,28,21,0.02,128264
2013,8,28,22,0.02,128268
2013,8,28,23,0.04,128272
2013,8,29,0,0.05,128276
2013,8,29,1,0.07,128280
2013,8,29,2,0.14,128284
2013,8,29,3,0.31,128288
2013,8,29,4,0.34,128292
2013,8,29,5,0.3,128296
2013,8,29,6,0.24,128300
2013,8,29,7,0.01,128304
2013,8,29,8,0.03,128308
2013,8,29,9,0.04,128312
2013,8,29,10,0.06,128316
2013,8,29,11,0.08,128320
2013,8,29,12,0.08,128324
2013,8,29,13,0.07,128328
2013,8,29,14,0.06,128332
2013,8,29,15,0.02,128336
2013,8,29,16,0.01,128340
2013,8,29,17,0.01,128344
2013,8,29,18,0,128348
2013,8,29,19,0,128352
2013,8,29,20,0,128356
2013,8,29,21,0,128360
2013,8,29,22,0,128364
2013,8,29,23,0,128368
2013,8,30,0,0,128372
2013,8,30,1,0,128376
2013,8,30,2,0,128380
2013,8,30,3,0,128384
2013,8,30,4,0,128388
2013,8,30,5,0,128392
2013,8,30,6,0,128396
2013,8,30,7,0,128400
2013,8,30,8,0,128404
2013,8,30,9,0,128408
2013,8,30,10,0,128412
2013,8,30,11,0,128416
2013,8,30,12,0,128420
2013,8,30,13,0,128424
2013,8,30,14,0,128428
2013,8,30,15,0,128432
2013,8,30,16,0,128436
2013,8,30,17,0,128440
2013,8,30,18,0,128444
2013,8,30,19,0,128448
2013,8,30,20,0,128452
2013,8,30,21,0,128456
2013,8,30,22,0,128460
2013,8,30,23,0,128464
2013,8,31,0,0,128468
2013,8,31,1,0,128472
2013,8,31,2,0,128476
2013,8,31,3,0,128480
2013,8,31,4,0,128484
2013,8,31,5,0,128488
2013,8,31,6,0,128492
2013,8,31,7,0,128496
2013,8,31,8,0.01,128500
2013,8,31,9,0.05,128504
2013,8,31,10,0.11,128508
2013,8,31,11,0.13,128512
2013,8,31,12,0.16,128516
2013,8,31,13,0.14,128520
2013,8,31,14,0.1,128524
2013,8,31,15,0.09,128528
2013,8,31,16,0.08,128532
2013,8,31,17,0.08,128536
2013,8,31,18,0.08,128540
2013,8,31,19,0.08,128544
2013,8,31,20,0.07,128548
2013,8,31,21,0.07,128552
2013,8,31,22,0.05,128556
2013,8,31,23,0.04,128560
2013,9,1,0,0.04,128564
2013,9,1,1,0.03,128568
2013,9,1,2,0.03,128572
2013,9,1,3,0.02,128576
2013,9,1,4,0.01,128580
2013,9,1,5,0,128584
2013,9,1,6,0.01,128588
2013,9,1,7,0.02,128592
2013,9,1,8,0.14,128596
2013,9,1,9,0.31,128600
2013,9,1,10,0.4,128604
2013,9,1,11,0.35,128608
2013,9,1,12,0.31,128612
2013,9,1,13,0.29,128616
2013,9,1,14,0.24,128620
2013,9,1,15,0.18,128624
2013,9,1,16,0.16,128628
2013,9,1,17,0.12,128632
2013,9,1,18,0.1,128636
2013,9,1,19,0.09,128640
2013,9,1,20,0.1,128644
2013,9,1,21,0.12,128648
2013,9,1,22,0.12,128652
2013,9,1,23,0.09,128656
2013,9,2,0,0.07,128660
2013,9,2,1,0.04,128664
2013,9,2,2,0.04,128668
2013,9,2,3,0.04,128672
2013,9,2,4,0.03,128676
2013,9,2,5,0.03,128680
2013,9,2,6,0.04,128684
2013,9,2,7,0.11,128688
2013,9,2,8,0.28,128692
2013,9,2,9,0.73,128696
2013,9,2,10,1.4,128700
2013,9,2,11,1.48,128704
2013,9,2,12,1.27,128708
2013,9,2,13,0.93,128712
2013,9,2,14,0.54,128716
2013,9,2,15,0.31,128720
2013,9,2,16,0.17,128724
2013,9,2,17,0.13,128728
2013,9,2,18,0.09,128732
2013,9,2,19,0.06,128736
2013,9,2,20,0.04,128740
2013,9,2,21,0.02,128744
2013,9,2,22,0.02,128748
2013,9,2,23,0.02,128752
2013,9,3,0,0.03,128756
2013,9,3,1,0.04,128760
2013,9,3,2,0.1,128764
2013,9,3,3,0.18,128768
2013,9,3,4,0.22,128772
2013,9,3,5,0.22,128776
2013,9,3,6,0.28,128780
2013,9,3,7,0.06,128784
2013,9,3,8,0.06,128788
2013,9,3,9,0.09,128792
2013,9,3,10,0.1,128796
2013,9,3,11,0.1,128800
2013,9,3,12,0.09,128804
2013,9,3,13,0.1,128808
2013,9,3,14,0.1,128812
2013,9,3,15,0.07,128816
2013,9,3,16,0.05,128820
2013,9,3,17,0,128824
2013,9,3,18,0,128828
2013,9,3,19,0,128832
2013,9,3,20,0,128836
2013,9,3,21,0,128840
2013,9,3,22,0,128844
2013,9,3,23,0,128848
2013,9,4,0,0,128852
2013,9,4,1,0,128856
2013,9,4,2,0,128860
2013,9,4,3,0,128864
2013,9,4,4,0,128868
2013,9,4,5,0,128872
2013,9,4,6,0,128876
2013,9,4,7,0,128880
2013,9,4,8,0,128884
2013,9,4,9,0,128888
2013,9,4,10,0,128892
2013,9,4,11,0,128896
2013,9,4,12,0,128900
2013,9,4,13,0,128904
2013,9,4,14,0,128908
2013,9,4,15,0,128912
2013,9,4,16,0,128916
2013,9,4,17,0,128920
2013,9,4,18,0,128924
2013,9,4,19,0,128928
2013,9,4,20,0,128932
2013,9,4,21,0,128936
2013,9,4,22,0,128940
2013,9,4,23,0,128944
2013,9,5,0,0,128948
2013,9,5,1,0,128952
2013,9,5,2,0,128956
2013,9,5,3,0,128960
2013,9,5,4,0,128964
2013,9,5,5,0,128968
2013,9,5,6,0,128972
2013,9,5,7,0,128976
2013,9,5,8,0,128980
2013,9,5,9,0,128984
2013,9,5,10,0,128988
2013,9,5,11,0,128992
2013,9,5,12,0,128996
2013,9,5,13,0,129000
2013,9,5,14,0,129004
2013,9,5,15,0,129008
2013,9,5,16,0,129012
2013,9,5,17,0,129016
2013,9,5,18,0,129020
2013,9,5,19,0,129024
2013,9,5,20,0,129028
2013,9,5,21,0,129032
2013,9,5,22,0,129036
2013,9,5,23,0,129040
2013,9,6,0,0,129044
2013,9,6,1,0,129048
2013,9,6,2,0,129052
2013,9,6,3,0,129056
2013,9,6,4,0,129060
2013,9,6,5,0,129064
2013,9,6,6,0,129068
2013,9,6,7,0,129072
2013,9,6,8,0,129076
2013,9,6,9,0,129080
2013,9,6,10,0,129084
2013,9,6,11,0,129088
2013,9,6,12,0,129092
2013,9,6,13,0,129096
2013,9,6,14,0,129100
2013,9,6,15,0,129104
2013,9,6,16,0,129108
2013,9,6,17,0,129112
2013,9,6,18,0,129116
2013,9,6,19,0,129120
